"product_key","product_id","product_name","product_cost","product_line","category_id","category","sub_category","product_serial","product_start_date","product_end_date","maintenance"
"47","256","LL Road Frame - Black- 60",176,"Road","CO_RF","Components","Road Frames","FR-R38B-60","2011-07-01","2012-06-30","Yes"
"48","257","LL Road Frame - Black- 60",170,"Road","CO_RF","Components","Road Frames","FR-R38B-60","2012-07-01","2013-06-30","Yes"
"49","258","LL Road Frame - Black- 60",205,"Road","CO_RF","Components","Road Frames","FR-R38B-60","2013-07-01","","Yes"
"50","259","LL Road Frame - Black- 62",176,"Road","CO_RF","Components","Road Frames","FR-R38B-62","2011-07-01","2012-06-30","Yes"
"51","260","LL Road Frame - Black- 62",170,"Road","CO_RF","Components","Road Frames","FR-R38B-62","2012-07-01","2013-06-30","Yes"
"52","261","LL Road Frame - Black- 62",205,"Road","CO_RF","Components","Road Frames","FR-R38B-62","2013-07-01","","Yes"
"53","262","LL Road Frame - Red- 44",181,"Road","CO_RF","Components","Road Frames","FR-R38R-44","2011-07-01","2012-06-30","Yes"
"54","263","LL Road Frame - Red- 44",187,"Road","CO_RF","Components","Road Frames","FR-R38R-44","2012-07-01","","Yes"
"55","264","LL Road Frame - Red- 48",181,"Road","CO_RF","Components","Road Frames","FR-R38R-48","2011-07-01","2012-06-30","Yes"
"56","265","LL Road Frame - Red- 48",187,"Road","CO_RF","Components","Road Frames","FR-R38R-48","2012-07-01","","Yes"
"57","266","LL Road Frame - Red- 52",181,"Road","CO_RF","Components","Road Frames","FR-R38R-52","2011-07-01","2012-06-30","Yes"
"58","267","LL Road Frame - Red- 52",187,"Road","CO_RF","Components","Road Frames","FR-R38R-52","2012-07-01","","Yes"
"59","268","LL Road Frame - Red- 58",181,"Road","CO_RF","Components","Road Frames","FR-R38R-58","2011-07-01","2012-06-30","Yes"
"60","269","LL Road Frame - Red- 58",187,"Road","CO_RF","Components","Road Frames","FR-R38R-58","2012-07-01","","Yes"
"61","270","LL Road Frame - Red- 60",181,"Road","CO_RF","Components","Road Frames","FR-R38R-60","2011-07-01","2012-06-30","Yes"
"62","271","LL Road Frame - Red- 60",187,"Road","CO_RF","Components","Road Frames","FR-R38R-60","2012-07-01","","Yes"
"63","272","LL Road Frame - Red- 62",181,"Road","CO_RF","Components","Road Frames","FR-R38R-62","2011-07-01","2012-06-30","Yes"
"64","273","LL Road Frame - Red- 62",187,"Road","CO_RF","Components","Road Frames","FR-R38R-62","2012-07-01","","Yes"
"65","274","ML Road Frame - Red- 44",352,"Road","CO_RF","Components","Road Frames","FR-R72R-44","2011-07-01","","Yes"
"66","275","ML Road Frame - Red- 48",352,"Road","CO_RF","Components","Road Frames","FR-R72R-48","2011-07-01","","Yes"
"67","276","ML Road Frame - Red- 52",352,"Road","CO_RF","Components","Road Frames","FR-R72R-52","2011-07-01","","Yes"
"68","277","ML Road Frame - Red- 58",352,"Road","CO_RF","Components","Road Frames","FR-R72R-58","2011-07-01","","Yes"
"69","278","ML Road Frame - Red- 60",352,"Road","CO_RF","Components","Road Frames","FR-R72R-60","2011-07-01","","Yes"
"70","279","LL Road Frame - Black- 44",176,"Road","CO_RF","Components","Road Frames","FR-R38B-44","2011-07-01","2012-06-30","Yes"
"71","280","LL Road Frame - Black- 44",170,"Road","CO_RF","Components","Road Frames","FR-R38B-44","2012-07-01","2013-06-30","Yes"
"72","281","LL Road Frame - Black- 44",205,"Road","CO_RF","Components","Road Frames","FR-R38B-44","2013-07-01","","Yes"
"73","282","LL Road Frame - Black- 48",176,"Road","CO_RF","Components","Road Frames","FR-R38B-48","2011-07-01","2012-06-30","Yes"
"74","283","LL Road Frame - Black- 48",170,"Road","CO_RF","Components","Road Frames","FR-R38B-48","2012-07-01","2013-06-30","Yes"
"75","284","LL Road Frame - Black- 48",205,"Road","CO_RF","Components","Road Frames","FR-R38B-48","2013-07-01","","Yes"
"76","285","LL Road Frame - Black- 52",176,"Road","CO_RF","Components","Road Frames","FR-R38B-52","2011-07-01","2012-06-30","Yes"
"77","286","LL Road Frame - Black- 52",170,"Road","CO_RF","Components","Road Frames","FR-R38B-52","2012-07-01","2013-06-30","Yes"
"78","287","LL Road Frame - Black- 52",205,"Road","CO_RF","Components","Road Frames","FR-R38B-52","2013-07-01","","Yes"
"79","288","HL Mountain Frame - Silver- 42",624,"Mountain","CO_MF","Components","Mountain Frames","FR-M94S-42","2011-07-01","2012-06-30","Yes"
"80","289","HL Mountain Frame - Silver- 42",661,"Mountain","CO_MF","Components","Mountain Frames","FR-M94S-42","2012-07-01","2013-06-30","Yes"
"81","290","HL Mountain Frame - Silver- 42",747,"Mountain","CO_MF","Components","Mountain Frames","FR-M94S-42","2013-07-01","","Yes"
"82","291","HL Mountain Frame - Silver- 44",707,"Mountain","CO_MF","Components","Mountain Frames","FR-M94S-44","2011-07-01","","Yes"
"83","292","HL Mountain Frame - Silver- 48",707,"Mountain","CO_MF","Components","Mountain Frames","FR-M94S-52","2011-07-01","","Yes"
"84","293","HL Mountain Frame - Silver- 46",624,"Mountain","CO_MF","Components","Mountain Frames","FR-M94S-46","2011-07-01","2012-06-30","Yes"
"85","294","HL Mountain Frame - Silver- 46",661,"Mountain","CO_MF","Components","Mountain Frames","FR-M94S-46","2012-07-01","2013-06-30","Yes"
"86","295","HL Mountain Frame - Silver- 46",747,"Mountain","CO_MF","Components","Mountain Frames","FR-M94S-46","2013-07-01","","Yes"
"87","296","HL Mountain Frame - Black- 42",617,"Mountain","CO_MF","Components","Mountain Frames","FR-M94B-42","2011-07-01","2012-06-30","Yes"
"88","297","HL Mountain Frame - Black- 42",654,"Mountain","CO_MF","Components","Mountain Frames","FR-M94B-42","2012-07-01","2013-06-30","Yes"
"89","298","HL Mountain Frame - Black- 42",739,"Mountain","CO_MF","Components","Mountain Frames","FR-M94B-42","2013-07-01","","Yes"
"90","299","HL Mountain Frame - Black- 44",699,"Mountain","CO_MF","Components","Mountain Frames","FR-M94B-44","2011-07-01","","Yes"
"91","300","HL Mountain Frame - Black- 48",699,"Mountain","CO_MF","Components","Mountain Frames","FR-M94B-48","2011-07-01","","Yes"
"92","301","HL Mountain Frame - Black- 46",617,"Mountain","CO_MF","Components","Mountain Frames","FR-M94B-46","2011-07-01","2012-06-30","Yes"
"93","302","HL Mountain Frame - Black- 46",654,"Mountain","CO_MF","Components","Mountain Frames","FR-M94B-46","2012-07-01","2013-06-30","Yes"
"94","303","HL Mountain Frame - Black- 46",739,"Mountain","CO_MF","Components","Mountain Frames","FR-M94B-46","2013-07-01","","Yes"
"95","304","HL Mountain Frame - Black- 38",617,"Mountain","CO_MF","Components","Mountain Frames","FR-M94B-38","2011-07-01","2012-06-30","Yes"
"96","305","HL Mountain Frame - Black- 38",654,"Mountain","CO_MF","Components","Mountain Frames","FR-M94B-38","2012-07-01","2013-06-30","Yes"
"97","306","HL Mountain Frame - Black- 38",739,"Mountain","CO_MF","Components","Mountain Frames","FR-M94B-38","2013-07-01","","Yes"
"98","307","HL Mountain Frame - Silver- 38",624,"Mountain","CO_MF","Components","Mountain Frames","FR-M94S-38","2011-07-01","2012-06-30","Yes"
"99","308","HL Mountain Frame - Silver- 38",661,"Mountain","CO_MF","Components","Mountain Frames","FR-M94S-38","2012-07-01","2013-06-30","Yes"
"100","309","HL Mountain Frame - Silver- 38",747,"Mountain","CO_MF","Components","Mountain Frames","FR-M94S-38","2013-07-01","","Yes"
"101","310","Road-150 Red- 62",2171,"Road","BI_RB","Bikes","Road Bikes","BK-R93R-62","2011-07-01","","Yes"
"102","311","Road-150 Red- 44",2171,"Road","BI_RB","Bikes","Road Bikes","BK-R93R-44","2011-07-01","","Yes"
"103","312","Road-150 Red- 48",2171,"Road","BI_RB","Bikes","Road Bikes","BK-R93R-48","2011-07-01","","Yes"
"104","313","Road-150 Red- 52",2171,"Road","BI_RB","Bikes","Road Bikes","BK-R93R-52","2011-07-01","","Yes"
"105","314","Road-150 Red- 56",2171,"Road","BI_RB","Bikes","Road Bikes","BK-R93R-56","2011-07-01","","Yes"
"106","315","Road-450 Red- 58",885,"Road","BI_RB","Bikes","Road Bikes","BK-R68R-58","2011-07-01","","Yes"
"107","316","Road-450 Red- 60",885,"Road","BI_RB","Bikes","Road Bikes","BK-R68R-60","2011-07-01","","Yes"
"108","317","Road-450 Red- 44",885,"Road","BI_RB","Bikes","Road Bikes","BK-R68R-44","2011-07-01","","Yes"
"109","318","Road-450 Red- 48",885,"Road","BI_RB","Bikes","Road Bikes","BK-R68R-48","2011-07-01","","Yes"
"110","319","Road-450 Red- 52",885,"Road","BI_RB","Bikes","Road Bikes","BK-R68R-52","2011-07-01","","Yes"
"111","320","Road-650 Red- 58",413,"Road","BI_RB","Bikes","Road Bikes","BK-R50R-58","2011-07-01","2012-06-30","Yes"
"112","321","Road-650 Red- 58",487,"Road","BI_RB","Bikes","Road Bikes","BK-R50R-58","2012-07-01","","Yes"
"113","322","Road-650 Red- 60",413,"Road","BI_RB","Bikes","Road Bikes","BK-R50R-60","2011-07-01","2012-06-30","Yes"
"114","323","Road-650 Red- 60",487,"Road","BI_RB","Bikes","Road Bikes","BK-R50R-60","2012-07-01","","Yes"
"115","324","Road-650 Red- 62",413,"Road","BI_RB","Bikes","Road Bikes","BK-R50R-62","2011-07-01","2012-06-30","Yes"
"116","325","Road-650 Red- 62",487,"Road","BI_RB","Bikes","Road Bikes","BK-R50R-62","2012-07-01","","Yes"
"117","326","Road-650 Red- 44",413,"Road","BI_RB","Bikes","Road Bikes","BK-R50R-44","2011-07-01","2012-06-30","Yes"
"118","327","Road-650 Red- 44",487,"Road","BI_RB","Bikes","Road Bikes","BK-R50R-44","2012-07-01","","Yes"
"119","328","Road-650 Red- 48",413,"Road","BI_RB","Bikes","Road Bikes","BK-R50R-48","2011-07-01","2012-06-30","Yes"
"120","329","Road-650 Red- 48",487,"Road","BI_RB","Bikes","Road Bikes","BK-R50R-48","2012-07-01","","Yes"
"121","330","Road-650 Red- 52",413,"Road","BI_RB","Bikes","Road Bikes","BK-R50R-52","2011-07-01","2012-06-30","Yes"
"122","331","Road-650 Red- 52",487,"Road","BI_RB","Bikes","Road Bikes","BK-R50R-52","2012-07-01","","Yes"
"123","332","Road-650 Black- 58",413,"Road","BI_RB","Bikes","Road Bikes","BK-R50B-58","2011-07-01","2012-06-30","Yes"
"124","333","Road-650 Black- 58",487,"Road","BI_RB","Bikes","Road Bikes","BK-R50B-58","2012-07-01","","Yes"
"125","334","Road-650 Black- 60",413,"Road","BI_RB","Bikes","Road Bikes","BK-R50B-60","2011-07-01","2012-06-30","Yes"
"126","335","Road-650 Black- 60",487,"Road","BI_RB","Bikes","Road Bikes","BK-R50B-60","2012-07-01","","Yes"
"127","336","Road-650 Black- 62",413,"Road","BI_RB","Bikes","Road Bikes","BK-R50B-62","2011-07-01","2012-06-30","Yes"
"128","337","Road-650 Black- 62",487,"Road","BI_RB","Bikes","Road Bikes","BK-R50B-62","2012-07-01","","Yes"
"129","338","Road-650 Black- 44",413,"Road","BI_RB","Bikes","Road Bikes","BK-R50B-44","2011-07-01","2012-06-30","Yes"
"130","339","Road-650 Black- 44",487,"Road","BI_RB","Bikes","Road Bikes","BK-R50B-44","2012-07-01","","Yes"
"131","340","Road-650 Black- 48",413,"Road","BI_RB","Bikes","Road Bikes","BK-R50B-48","2011-07-01","2012-06-30","Yes"
"132","341","Road-650 Black- 48",487,"Road","BI_RB","Bikes","Road Bikes","BK-R50B-48","2012-07-01","","Yes"
"133","342","Road-650 Black- 52",413,"Road","BI_RB","Bikes","Road Bikes","BK-R50B-52","2011-07-01","2012-06-30","Yes"
"134","343","Road-650 Black- 52",487,"Road","BI_RB","Bikes","Road Bikes","BK-R50B-52","2012-07-01","","Yes"
"135","344","Mountain-100 Silver- 38",1912,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M82S-38","2011-07-01","","Yes"
"136","345","Mountain-100 Silver- 42",1912,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M82S-42","2011-07-01","","Yes"
"137","346","Mountain-100 Silver- 44",1912,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M82S-44","2011-07-01","","Yes"
"138","347","Mountain-100 Silver- 48",1912,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M82S-48","2011-07-01","","Yes"
"139","348","Mountain-100 Black- 38",1898,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M82B-38","2011-07-01","","Yes"
"140","349","Mountain-100 Black- 42",1898,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M82B-42","2011-07-01","","Yes"
"141","350","Mountain-100 Black- 44",1898,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M82B-44","2011-07-01","","Yes"
"142","351","Mountain-100 Black- 48",1898,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M82B-48","2011-07-01","","Yes"
"143","352","Mountain-200 Silver- 38",1118,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M68S-38","2012-07-01","2013-06-30","Yes"
"144","353","Mountain-200 Silver- 38",1266,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M68S-38","2013-07-01","","Yes"
"145","354","Mountain-200 Silver- 42",1118,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M68S-42","2012-07-01","2013-06-30","Yes"
"146","355","Mountain-200 Silver- 42",1266,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M68S-42","2013-07-01","","Yes"
"147","356","Mountain-200 Silver- 46",1118,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M68S-46","2012-07-01","2013-06-30","Yes"
"148","357","Mountain-200 Silver- 46",1266,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M68S-46","2013-07-01","","Yes"
"149","358","Mountain-200 Black- 38",1106,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M68B-38","2012-07-01","2013-06-30","Yes"
"150","359","Mountain-200 Black- 38",1252,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M68B-38","2013-07-01","","Yes"
"151","360","Mountain-200 Black- 42",1106,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M68B-42","2012-07-01","2013-06-30","Yes"
"152","361","Mountain-200 Black- 42",1252,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M68B-42","2013-07-01","","Yes"
"153","362","Mountain-200 Black- 46",1106,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M68B-46","2012-07-01","2013-06-30","Yes"
"154","363","Mountain-200 Black- 46",1252,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M68B-46","2013-07-01","","Yes"
"155","364","Mountain-300 Black- 38",598,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M47B-38","2012-07-01","","Yes"
"156","365","Mountain-300 Black- 40",598,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M47B-40","2012-07-01","","Yes"
"157","366","Mountain-300 Black- 44",598,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M47B-44","2012-07-01","","Yes"
"158","367","Mountain-300 Black- 48",598,"Mountain","BI_MB","Bikes","Mountain Bikes","BK-M47B-48","2012-07-01","","Yes"
"159","368","Road-250 Red- 44",1519,"Road","BI_RB","Bikes","Road Bikes","BK-R89R-44","2012-07-01","","Yes"
"160","369","Road-250 Red- 48",1519,"Road","BI_RB","Bikes","Road Bikes","BK-R89R-48","2012-07-01","","Yes"
"161","370","Road-250 Red- 52",1519,"Road","BI_RB","Bikes","Road Bikes","BK-R89R-52","2012-07-01","","Yes"
"162","371","Road-250 Red- 58",1321,"Road","BI_RB","Bikes","Road Bikes","BK-R89R-58","2012-07-01","2013-06-30","Yes"
"163","372","Road-250 Red- 58",1555,"Road","BI_RB","Bikes","Road Bikes","BK-R89R-58","2013-07-01","","Yes"
"164","373","Road-250 Black- 44",1321,"Road","BI_RB","Bikes","Road Bikes","BK-R89B-44","2012-07-01","2013-06-30","Yes"
"165","374","Road-250 Black- 44",1555,"Road","BI_RB","Bikes","Road Bikes","BK-R89B-44","2013-07-01","","Yes"
"166","375","Road-250 Black- 48",1321,"Road","BI_RB","Bikes","Road Bikes","BK-R89B-48","2012-07-01","2013-06-30","Yes"
"167","376","Road-250 Black- 48",1555,"Road","BI_RB","Bikes","Road Bikes","BK-R89B-48","2013-07-01","","Yes"
"168","377","Road-250 Black- 52",1321,"Road","BI_RB","Bikes","Road Bikes","BK-R89B-52","2012-07-01","2013-06-30","Yes"
"169","378","Road-250 Black- 52",1555,"Road","BI_RB","Bikes","Road Bikes","BK-R89B-52","2013-07-01","","Yes"
"170","379","Road-250 Black- 58",1321,"Road","BI_RB","Bikes","Road Bikes","BK-R89B-58","2012-07-01","2013-06-30","Yes"
"171","380","Road-250 Black- 58",1555,"Road","BI_RB","Bikes","Road Bikes","BK-R89B-58","2013-07-01","","Yes"
"172","381","Road-550-W Yellow- 38",606,"Road","BI_RB","Bikes","Road Bikes","BK-R64Y-38","2012-07-01","2013-06-30","Yes"
"173","382","Road-550-W Yellow- 38",713,"Road","BI_RB","Bikes","Road Bikes","BK-R64Y-38","2013-07-01","","Yes"
"174","383","Road-550-W Yellow- 40",606,"Road","BI_RB","Bikes","Road Bikes","BK-R64Y-40","2012-07-01","2013-06-30","Yes"
"175","384","Road-550-W Yellow- 40",713,"Road","BI_RB","Bikes","Road Bikes","BK-R64Y-40","2013-07-01","","Yes"
"176","385","Road-550-W Yellow- 42",606,"Road","BI_RB","Bikes","Road Bikes","BK-R64Y-42","2012-07-01","2013-06-30","Yes"
"177","386","Road-550-W Yellow- 42",713,"Road","BI_RB","Bikes","Road Bikes","BK-R64Y-42","2013-07-01","","Yes"
"178","387","Road-550-W Yellow- 44",606,"Road","BI_RB","Bikes","Road Bikes","BK-R64Y-44","2012-07-01","2013-06-30","Yes"
"179","388","Road-550-W Yellow- 44",713,"Road","BI_RB","Bikes","Road Bikes","BK-R64Y-44","2013-07-01","","Yes"
"180","389","Road-550-W Yellow- 48",606,"Road","BI_RB","Bikes","Road Bikes","BK-R64Y-48","2012-07-01","2013-06-30","Yes"
"181","390","Road-550-W Yellow- 48",713,"Road","BI_RB","Bikes","Road Bikes","BK-R64Y-48","2013-07-01","","Yes"
"182","391","LL Fork",66,"Unkown","CO_FO","Components","Forks","FK-1639","2012-07-01","","Yes"
"183","392","ML Fork",78,"Unkown","CO_FO","Components","Forks","FK-5136","2012-07-01","","Yes"
"184","393","HL Fork",102,"Unkown","CO_FO","Components","Forks","FK-9939","2012-07-01","","Yes"
"185","394","LL Headset",15,"Unkown","CO_HS","Components","Headsets","HS-0296","2012-07-01","","No"
"186","395","ML Headset",45,"Unkown","CO_HS","Components","Headsets","HS-2451","2012-07-01","","No"
"187","396","HL Headset",55,"Unkown","CO_HS","Components","Headsets","HS-3479","2012-07-01","","No"
"188","397","LL Mountain Handlebars",18,"Mountain","CO_HB","Components","Handlebars","HB-M243","2012-07-01","2013-06-30","No"
"189","398","LL Mountain Handlebars",20,"Mountain","CO_HB","Components","Handlebars","HB-M243","2013-07-01","","No"
"190","399","ML Mountain Handlebars",25,"Mountain","CO_HB","Components","Handlebars","HB-M763","2012-07-01","2013-06-30","No"
"191","400","ML Mountain Handlebars",27,"Mountain","CO_HB","Components","Handlebars","HB-M763","2013-07-01","","No"
"192","401","HL Mountain Handlebars",49,"Mountain","CO_HB","Components","Handlebars","HB-M918","2012-07-01","2013-06-30","No"
"193","402","HL Mountain Handlebars",53,"Mountain","CO_HB","Components","Handlebars","HB-M918","2013-07-01","","No"
"194","403","LL Road Handlebars",18,"Road","CO_HB","Components","Handlebars","HB-R504","2012-07-01","2013-06-30","No"
"195","404","LL Road Handlebars",20,"Road","CO_HB","Components","Handlebars","HB-R504","2013-07-01","","No"
"196","405","ML Road Handlebars",25,"Road","CO_HB","Components","Handlebars","HB-R720","2012-07-01","2013-06-30","No"
"197","406","ML Road Handlebars",27,"Road","CO_HB","Components","Handlebars","HB-R720","2013-07-01","","No"
"198","407","HL Road Handlebars",49,"Road","CO_HB","Components","Handlebars","HB-R956","2012-07-01","2013-06-30","No"
"199","408","HL Road Handlebars",53,"Road","CO_HB","Components","Handlebars","HB-R956","2013-07-01","","No"
"200","409","ML Mountain Frame - Black- 38",186,"Mountain","CO_MF","Components","Mountain Frames","FR-M63B-38","2012-07-01","","Yes"
"201","410","LL Mountain Front Wheel",27,"Mountain","CO_WH","Components","Wheels","FW-M423","2012-07-01","","Yes"
"202","411","ML Mountain Front Wheel",93,"Mountain","CO_WH","Components","Wheels","FW-M762","2012-07-01","","Yes"
"203","412","HL Mountain Front Wheel",133,"Mountain","CO_WH","Components","Wheels","FW-M928","2012-07-01","","Yes"
"204","413","LL Road Front Wheel",38,"Road","CO_WH","Components","Wheels","FW-R623","2012-07-01","","Yes"
"205","414","ML Road Front Wheel",110,"Road","CO_WH","Components","Wheels","FW-R762","2012-07-01","","Yes"
"206","415","HL Road Front Wheel",147,"Road","CO_WH","Components","Wheels","FW-R820","2012-07-01","","Yes"
"207","416","Touring Front Wheel",97,"Touring","CO_WH","Components","Wheels","FW-T905","2012-07-01","","Yes"
"208","417","ML Road Frame-W - Yellow- 38",300,"Road","CO_RF","Components","Road Frames","FR-R72Y-38","2012-07-01","2013-06-30","Yes"
"209","418","ML Road Frame-W - Yellow- 38",361,"Road","CO_RF","Components","Road Frames","FR-R72Y-38","2013-07-01","","Yes"
"210","419","LL Mountain Rear Wheel",39,"Mountain","CO_WH","Components","Wheels","RW-M423","2012-07-01","","Yes"
