"product_key","product_name","category","sub_category","product_cost","last_sale_date","recency_sale_date_months","product_segment","lifespan_months","total_orders","total_sales","total_quantities","total_customers","avg_selling_price","average_monthly_revenue"
"19","Long-Sleeve Logo Jersey- S","Clothing","Jerseys",38,"2014-01-28","1","Mid-performer","12","429","21450","429","426","50.00","50"
"20","Long-Sleeve Logo Jersey- M","Clothing","Jerseys",32,"2014-01-28","1","Mid-performer","13","442","22100","442","436","50.00","50"
"21","Long-Sleeve Logo Jersey- M","Clothing","Jerseys",29,"2014-01-28","1","Mid-performer","13","442","22100","442","436","50.00","50"
"22","Long-Sleeve Logo Jersey- M","Clothing","Jerseys",38,"2014-01-28","1","Mid-performer","13","442","22100","442","436","50.00","50"
"23","Long-Sleeve Logo Jersey- L","Clothing","Jerseys",32,"2014-01-28","1","Mid-performer","13","452","22650","453","449","50.00","50"
"24","Long-Sleeve Logo Jersey- L","Clothing","Jerseys",29,"2014-01-28","1","Mid-performer","13","452","22650","453","449","50.00","50"
"25","Long-Sleeve Logo Jersey- L","Clothing","Jerseys",38,"2014-01-28","1","Mid-performer","13","452","22650","453","449","50.00","50"
"26","Long-Sleeve Logo Jersey- XL","Clothing","Jerseys",32,"2014-01-28","1","Mid-performer","12","413","20700","414","409","50.00","50"
"27","Long-Sleeve Logo Jersey- XL","Clothing","Jerseys",29,"2014-01-28","1","Mid-performer","12","413","20700","414","409","50.00","50"
"28","Long-Sleeve Logo Jersey- XL","Clothing","Jerseys",38,"2014-01-28","1","Mid-performer","12","413","20700","414","409","50.00","50"
"101","Road-150 Red- 62","Bikes","Road Bikes",2171,"2011-12-28","2","High-performer","11","336","1202208","336","336","3578.00","3578"
"102","Road-150 Red- 44","Bikes","Road Bikes",2171,"2011-12-28","2","High-performer","11","281","1005418","281","281","3578.00","3578"
"103","Road-150 Red- 48","Bikes","Road Bikes",2171,"2011-12-28","2","High-performer","11","337","1205786","337","337","3578.00","3578"
"104","Road-150 Red- 52","Bikes","Road Bikes",2171,"2011-12-27","2","High-performer","11","302","1080556","302","302","3578.00","3578"
"105","Road-150 Red- 56","Bikes","Road Bikes",2171,"2011-12-27","2","High-performer","11","295","1055510","295","295","3578.00","3578"
"111","Road-650 Red- 58","Bikes","Road Bikes",413,"2012-12-18","3","High-performer","22","74","56346","74","74","761.43","761"
"112","Road-650 Red- 58","Bikes","Road Bikes",487,"2012-12-18","3","High-performer","22","74","56346","74","74","761.43","761"
"113","Road-650 Red- 60","Bikes","Road Bikes",413,"2012-12-23","3","Mid-performer","22","53","40071","53","53","756.06","756"
"114","Road-650 Red- 60","Bikes","Road Bikes",487,"2012-12-23","3","Mid-performer","22","53","40071","53","53","756.06","756"
"115","Road-650 Red- 62","Bikes","Road Bikes",413,"2012-12-05","3","High-performer","22","75","57381","75","75","765.08","765"
"116","Road-650 Red- 62","Bikes","Road Bikes",487,"2012-12-05","3","High-performer","22","75","57381","75","75","765.08","765"
"117","Road-650 Red- 44","Bikes","Road Bikes",413,"2012-12-25","3","High-performer","23","72","54528","72","72","757.33","757"
"118","Road-650 Red- 44","Bikes","Road Bikes",487,"2012-12-25","3","High-performer","23","72","54528","72","72","757.33","757"
"119","Road-650 Red- 48","Bikes","Road Bikes",413,"2012-12-27","2","High-performer","23","88","66720","88","88","758.18","758"
"120","Road-650 Red- 48","Bikes","Road Bikes",487,"2012-12-27","2","High-performer","23","88","66720","88","88","758.18","758"
"121","Road-650 Red- 52","Bikes","Road Bikes",413,"2012-12-21","3","Mid-performer","23","61","46083","61","61","755.46","755"
"122","Road-650 Red- 52","Bikes","Road Bikes",487,"2012-12-21","3","Mid-performer","23","61","46083","61","61","755.46","755"
"123","Road-650 Black- 58","Bikes","Road Bikes",413,"2012-12-18","3","High-performer","23","76","57996","76","76","763.11","763"
"124","Road-650 Black- 58","Bikes","Road Bikes",487,"2012-12-18","3","High-performer","23","76","57996","76","76","763.11","763"
"125","Road-650 Black- 60","Bikes","Road Bikes",413,"2012-12-12","3","High-performer","22","76","57156","76","76","752.05","752"
"126","Road-650 Black- 60","Bikes","Road Bikes",487,"2012-12-12","3","High-performer","22","76","57156","76","76","752.05","752"
"127","Road-650 Black- 62","Bikes","Road Bikes",413,"2012-12-18","3","Mid-performer","23","65","49047","65","65","754.57","754"
"128","Road-650 Black- 62","Bikes","Road Bikes",487,"2012-12-18","3","Mid-performer","23","65","49047","65","65","754.57","754"
"129","Road-650 Black- 44","Bikes","Road Bikes",413,"2012-12-26","3","Mid-performer","23","63","47565","63","63","755.00","755"
"130","Road-650 Black- 44","Bikes","Road Bikes",487,"2012-12-26","3","Mid-performer","23","63","47565","63","63","755.00","755"
"131","Road-650 Black- 48","Bikes","Road Bikes",413,"2012-12-25","3","Mid-performer","20","60","45552","60","60","759.20","759"
"132","Road-650 Black- 48","Bikes","Road Bikes",487,"2012-12-25","3","Mid-performer","20","60","45552","60","60","759.20","759"
"133","Road-650 Black- 52","Bikes","Road Bikes",413,"2012-12-19","3","High-performer","22","89","66915","89","89","751.85","751"
"134","Road-650 Black- 52","Bikes","Road Bikes",487,"2012-12-19","3","High-performer","22","89","66915","89","89","751.85","751"
"135","Mountain-100 Silver- 38","Bikes","Mountain Bikes",1912,"2011-12-22","3","High-performer","11","58","197200","58","58","3400.00","3400"
"136","Mountain-100 Silver- 42","Bikes","Mountain Bikes",1912,"2011-12-28","2","High-performer","11","42","142800","42","42","3400.00","3400"
"137","Mountain-100 Silver- 44","Bikes","Mountain Bikes",1912,"2011-12-12","3","High-performer","11","49","166600","49","49","3400.00","3400"
"138","Mountain-100 Silver- 48","Bikes","Mountain Bikes",1912,"2011-12-23","3","High-performer","11","36","122400","36","36","3400.00","3400"
"139","Mountain-100 Black- 38","Bikes","Mountain Bikes",1898,"2011-12-27","2","High-performer","11","49","165375","49","49","3375.00","3375"
"140","Mountain-100 Black- 42","Bikes","Mountain Bikes",1898,"2011-12-27","2","High-performer","11","45","151875","45","45","3375.00","3375"
"141","Mountain-100 Black- 44","Bikes","Mountain Bikes",1898,"2011-12-21","3","High-performer","11","60","202500","60","60","3375.00","3375"
"142","Mountain-100 Black- 48","Bikes","Mountain Bikes",1898,"2011-12-26","3","High-performer","11","57","192375","57","57","3375.00","3375"
"143","Mountain-200 Silver- 38","Bikes","Mountain Bikes",1118,"2013-12-28","2","High-performer","23","596","1339394","596","583","2247.31","2247"
"144","Mountain-200 Silver- 38","Bikes","Mountain Bikes",1266,"2013-12-28","2","High-performer","23","596","1339394","596","583","2247.31","2247"
"145","Mountain-200 Silver- 42","Bikes","Mountain Bikes",1118,"2013-12-28","2","High-performer","23","560","1257368","560","547","2245.30","2245"
"146","Mountain-200 Silver- 42","Bikes","Mountain Bikes",1266,"2013-12-28","2","High-performer","23","560","1257368","560","547","2245.30","2245"
"147","Mountain-200 Silver- 46","Bikes","Mountain Bikes",1118,"2013-12-28","2","High-performer","23","579","1298709","579","566","2243.02","2243"
"148","Mountain-200 Silver- 46","Bikes","Mountain Bikes",1266,"2013-12-28","2","High-performer","23","579","1298709","579","566","2243.02","2243"
"149","Mountain-200 Black- 38","Bikes","Mountain Bikes",1106,"2013-12-28","2","High-performer","23","581","1292559","581","564","2224.71","2224"
"150","Mountain-200 Black- 38","Bikes","Mountain Bikes",1252,"2013-12-28","2","High-performer","23","581","1292559","581","564","2224.71","2224"
"151","Mountain-200 Black- 42","Bikes","Mountain Bikes",1106,"2013-12-28","2","High-performer","23","614","1363128","614","604","2220.08","2220"
"152","Mountain-200 Black- 42","Bikes","Mountain Bikes",1252,"2013-12-28","2","High-performer","23","614","1363128","614","604","2220.08","2220"
"153","Mountain-200 Black- 46","Bikes","Mountain Bikes",1106,"2013-12-27","2","High-performer","23","620","1373454","620","600","2215.25","2215"
"154","Mountain-200 Black- 46","Bikes","Mountain Bikes",1252,"2013-12-27","2","High-performer","23","620","1373454","620","600","2215.25","2215"
"159","Road-250 Red- 44","Bikes","Road Bikes",1519,"2012-12-25","3","High-performer","11","144","351792","144","144","2443.00","2443"
"160","Road-250 Red- 48","Bikes","Road Bikes",1519,"2012-12-24","3","High-performer","11","162","395766","162","162","2443.00","2443"
"161","Road-250 Red- 52","Bikes","Road Bikes",1519,"2012-12-25","3","High-performer","11","133","324919","133","133","2443.00","2443"
"162","Road-250 Red- 58","Bikes","Road Bikes",1321,"2013-12-27","2","High-performer","23","306","702666","306","301","2296.29","2296"
"163","Road-250 Red- 58","Bikes","Road Bikes",1555,"2013-12-27","2","High-performer","23","306","702666","306","301","2296.29","2296"
"164","Road-250 Black- 44","Bikes","Road Bikes",1321,"2013-12-27","2","High-performer","23","271","628384","271","266","2318.76","2318"
"165","Road-250 Black- 44","Bikes","Road Bikes",1555,"2013-12-27","2","High-performer","23","271","628384","271","266","2318.76","2318"
"166","Road-250 Black- 48","Bikes","Road Bikes",1321,"2013-12-28","2","High-performer","23","298","691213","298","289","2319.51","2319"
"167","Road-250 Black- 48","Bikes","Road Bikes",1555,"2013-12-28","2","High-performer","23","298","691213","298","289","2319.51","2319"
"168","Road-250 Black- 52","Bikes","Road Bikes",1321,"2013-12-25","3","High-performer","23","319","734425","319","312","2302.27","2302"
"169","Road-250 Black- 52","Bikes","Road Bikes",1555,"2013-12-25","3","High-performer","23","319","734425","319","312","2302.27","2302"
"170","Road-250 Black- 58","Bikes","Road Bikes",1321,"2013-12-26","3","High-performer","23","270","622026","270","265","2303.80","2303"
"171","Road-250 Black- 58","Bikes","Road Bikes",1555,"2013-12-26","3","High-performer","23","270","622026","270","265","2303.80","2303"
"172","Road-550-W Yellow- 38","Bikes","Road Bikes",606,"2013-12-26","3","High-performer","23","270","293760","270","267","1088.00","1088"
"173","Road-550-W Yellow- 38","Bikes","Road Bikes",713,"2013-12-26","3","High-performer","23","270","293760","270","267","1088.00","1088"
"174","Road-550-W Yellow- 40","Bikes","Road Bikes",606,"2013-12-28","2","High-performer","23","266","289880","266","264","1089.77","1089"
"175","Road-550-W Yellow- 40","Bikes","Road Bikes",713,"2013-12-28","2","High-performer","23","266","289880","266","264","1089.77","1089"
"176","Road-550-W Yellow- 42","Bikes","Road Bikes",606,"2013-12-26","3","High-performer","23","306","334440","306","303","1092.94","1092"
"177","Road-550-W Yellow- 42","Bikes","Road Bikes",713,"2013-12-26","3","High-performer","23","306","334440","306","303","1092.94","1092"
"178","Road-550-W Yellow- 44","Bikes","Road Bikes",606,"2013-12-27","2","High-performer","23","287","312200","287","286","1087.80","1087"
"179","Road-550-W Yellow- 44","Bikes","Road Bikes",713,"2013-12-27","2","High-performer","23","287","312200","287","286","1087.80","1087"
"180","Road-550-W Yellow- 48","Bikes","Road Bikes",606,"2013-12-27","2","High-performer","22","261","283680","261","258","1086.90","1086"
"181","Road-550-W Yellow- 48","Bikes","Road Bikes",713,"2013-12-27","2","High-performer","22","261","283680","261","258","1086.90","1086"
"253","Half-Finger Gloves- S","Clothing","Gloves",10,"2014-01-25","2","Mid-performer","12","487","11688","487","478","24.00","24"
"254","Half-Finger Gloves- S","Clothing","Gloves",9,"2014-01-25","2","Mid-performer","12","487","11688","487","478","24.00","24"
"255","Half-Finger Gloves- M","Clothing","Gloves",10,"2014-01-28","1","Mid-performer","12","499","11976","499","488","24.00","24"
"256","Half-Finger Gloves- M","Clothing","Gloves",9,"2014-01-28","1","Mid-performer","12","499","11976","499","488","24.00","24"
"257","Half-Finger Gloves- L","Clothing","Gloves",10,"2014-01-28","1","Mid-performer","12","443","10632","443","437","24.00","24"
"258","Half-Finger Gloves- L","Clothing","Gloves",9,"2014-01-28","1","Mid-performer","12","443","10632","443","437","24.00","24"
"262","Classic Vest- S","Clothing","Vests",24,"2014-01-28","1","Mid-performer","12","168","10944","171","168","64.00","65"
"263","Classic Vest- M","Clothing","Vests",24,"2014-01-27","1","Mid-performer","12","199","12736","199","199","64.00","64"
"264","Classic Vest- L","Clothing","Vests",24,"2014-01-28","1","Mid-performer","12","195","12480","195","195","64.00","64"
"265","Women's Mountain Shorts- S","Clothing","Shorts",26,"2014-01-28","1","Mid-performer","12","304","21280","304","304","70.00","70"
"266","Women's Mountain Shorts- M","Clothing","Shorts",26,"2014-01-26","2","Mid-performer","12","352","24640","352","352","70.00","70"
"267","Women's Mountain Shorts- L","Clothing","Shorts",26,"2014-01-28","1","Mid-performer","12","363","25410","363","363","70.00","70"
"268","Water Bottle - 30 oz.","Accessories","Bottles and Cages",2,"2014-01-28","1","Mid-performer","13","4244","21245","4249","4073","5.00","5"
"269","Mountain Bottle Cage","Accessories","Bottles and Cages",4,"2014-01-28","1","Mid-performer","13","2025","20340","2034","2004","10.00","10"
"270","Road Bottle Cage","Accessories","Bottles and Cages",3,"2014-01-25","2","Mid-performer","12","1711","15399","1711","1699","9.00","9"
"271","Patch Kit/8 Patches","Accessories","Tires and Tubes",1,"2014-01-28","1","Low-performer","12","3189","6378","3189","2948","2.00","2"
"272","Racing Socks- M","Clothing","Socks",3,"2014-01-28","1","Low-performer","12","298","2682","298","295","9.00","9"
"273","Racing Socks- L","Clothing","Socks",3,"2014-01-27","1","Low-performer","12","270","2430","270","269","9.00","9"
"274","Hitch Rack - 4-Bike","Accessories","Bike Racks",45,"2014-01-28","1","Mid-performer","12","327","39240","327","324","120.00","120"
"275","Bike Wash - Dissolver","Accessories","Cleaners",3,"2014-01-28","1","Low-performer","12","908","7272","909","875","8.00","8"
"276","Fender Set - Mountain","Accessories","Fenders",8,"2014-01-28","1","Mid-performer","12","2121","46662","2121","2110","22.00","22"
"277","All-Purpose Bike Stand","Accessories","Bike Stands",59,"2014-01-28","1","Mid-performer","13","249","39591","249","243","159.00","159"
"278","Hydration Pack - 70 oz.","Accessories","Hydration Packs",21,"2014-01-28","1","Mid-performer","12","733","40315","733","719","55.00","55"
"279","Short-Sleeve Classic Jersey- S","Clothing","Jerseys",42,"2014-01-28","1","Mid-performer","12","406","21924","406","402","54.00","54"
"280","Short-Sleeve Classic Jersey- M","Clothing","Jerseys",42,"2014-01-27","1","Mid-performer","12","407","21978","407","404","54.00","54"
"281","Short-Sleeve Classic Jersey- L","Clothing","Jerseys",42,"2014-01-26","2","Mid-performer","12","374","20196","374","372","54.00","54"
"282","Short-Sleeve Classic Jersey- XL","Clothing","Jerseys",42,"2014-01-28","1","Mid-performer","12","409","22086","409","405","54.00","54"
"319","Mountain Tire Tube","Accessories","Tires and Tubes",2,"2014-01-28","1","Mid-performer","13","3092","15465","3093","2958","5.00","5"
"320","Road Tire Tube","Accessories","Tires and Tubes",1,"2014-01-28","1","Low-performer","13","2375","9500","2375","2225","4.00","4"
"321","Touring Tire Tube","Accessories","Tires and Tubes",2,"2014-01-28","1","Low-performer","13","1487","7435","1487","1410","5.00","5"
"326","LL Mountain Tire","Accessories","Tires and Tubes",9,"2014-01-28","1","Mid-performer","12","860","21550","862","828","25.00","25"
"327","ML Mountain Tire","Accessories","Tires and Tubes",11,"2014-01-28","1","Mid-performer","12","1160","34800","1160","1160","30.00","30"
"328","HL Mountain Tire","Accessories","Tires and Tubes",13,"2014-01-28","1","Mid-performer","13","1395","48860","1396","1395","35.00","35"
"329","LL Road Tire","Accessories","Tires and Tubes",8,"2014-01-28","1","Mid-performer","13","1043","21903","1043","1029","21.00","21"
"330","ML Road Tire","Accessories","Tires and Tubes",9,"2014-01-28","1","Mid-performer","12","925","23125","925","890","25.00","25"
"331","HL Road Tire","Accessories","Tires and Tubes",12,"2014-01-28","1","Mid-performer","13","858","28314","858","820","33.00","33"
"332","Touring Tire","Accessories","Tires and Tubes",11,"2014-01-25","2","Mid-performer","12","935","27115","935","920","29.00","29"
"351","Touring-2000 Blue- 60","Bikes","Touring Bikes",755,"2013-12-28","2","High-performer","11","81","98415","81","81","1215.00","1215"
"352","Touring-1000 Yellow- 46","Bikes","Touring Bikes",1482,"2013-12-28","2","High-performer","11","172","410048","172","170","2384.00","2384"
"353","Touring-1000 Yellow- 50","Bikes","Touring Bikes",1482,"2013-12-23","3","High-performer","11","151","359984","151","150","2384.00","2384"
"354","Touring-1000 Yellow- 54","Bikes","Touring Bikes",1482,"2013-12-27","2","High-performer","11","158","376672","158","158","2384.00","2384"
"355","Touring-1000 Yellow- 60","Bikes","Touring Bikes",1482,"2013-12-23","3","High-performer","11","140","333760","140","140","2384.00","2384"
"356","Touring-3000 Blue- 54","Bikes","Touring Bikes",461,"2013-12-17","3","Mid-performer","11","55","40810","55","55","742.00","742"
"357","Touring-3000 Blue- 58","Bikes","Touring Bikes",461,"2013-12-27","2","Mid-performer","11","57","42294","57","57","742.00","742"
"358","Touring-3000 Blue- 62","Bikes","Touring Bikes",461,"2013-12-23","3","Mid-performer","10","64","47488","64","64","742.00","742"
"359","Touring-3000 Yellow- 44","Bikes","Touring Bikes",461,"2013-12-28","2","Mid-performer","10","59","43778","59","59","742.00","742"
"360","Touring-3000 Yellow- 50","Bikes","Touring Bikes",461,"2013-12-27","2","Mid-performer","11","59","43778","59","59","742.00","742"
"361","Touring-3000 Yellow- 54","Bikes","Touring Bikes",461,"2013-12-09","3","Mid-performer","10","48","35616","48","48","742.00","742"
"362","Touring-3000 Yellow- 58","Bikes","Touring Bikes",461,"2013-12-27","2","Mid-performer","11","47","34874","47","47","742.00","742"
"363","Touring-3000 Yellow- 62","Bikes","Touring Bikes",461,"2013-12-26","3","Mid-performer","11","50","37100","50","50","742.00","742"
"364","Touring-1000 Blue- 46","Bikes","Touring Bikes",1482,"2013-12-23","3","High-performer","11","177","421968","177","177","2384.00","2384"
"365","Touring-1000 Blue- 50","Bikes","Touring Bikes",1482,"2013-12-28","2","High-performer","11","150","357600","150","150","2384.00","2384"
"366","Touring-1000 Blue- 54","Bikes","Touring Bikes",1482,"2013-12-27","2","High-performer","11","160","381440","160","160","2384.00","2384"
"367","Touring-1000 Blue- 60","Bikes","Touring Bikes",1482,"2013-12-27","2","High-performer","11","147","350448","147","147","2384.00","2384"
"368","Touring-2000 Blue- 46","Bikes","Touring Bikes",755,"2013-12-27","2","High-performer","11","97","117855","97","97","1215.00","1215"
"369","Touring-2000 Blue- 50","Bikes","Touring Bikes",755,"2013-12-27","2","High-performer","11","106","128790","106","106","1215.00","1215"
"370","Touring-2000 Blue- 54","Bikes","Touring Bikes",755,"2013-12-28","2","High-performer","11","88","106920","88","88","1215.00","1215"
"371","Road-350-W Yellow- 40","Bikes","Road Bikes",1083,"2013-12-27","2","High-performer","11","246","418446","246","246","1701.00","1701"
"372","Road-350-W Yellow- 42","Bikes","Road Bikes",1083,"2013-12-27","2","High-performer","11","235","399735","235","235","1701.00","1701"
"373","Road-350-W Yellow- 44","Bikes","Road Bikes",1083,"2013-12-27","2","High-performer","11","216","367416","216","216","1701.00","1701"
"374","Road-350-W Yellow- 48","Bikes","Road Bikes",1083,"2013-12-25","3","High-performer","11","232","394632","232","232","1701.00","1701"
"375","Road-750 Black- 58","Bikes","Road Bikes",344,"2013-12-28","2","High-performer","11","334","180360","334","334","540.00","540"
"376","Touring-3000 Blue- 44","Bikes","Touring Bikes",461,"2013-12-28","2","Mid-performer","11","53","39326","53","53","742.00","742"
"377","Touring-3000 Blue- 50","Bikes","Touring Bikes",461,"2013-12-23","3","Mid-performer","11","48","35616","48","48","742.00","742"
"378","Mountain-400-W Silver- 38","Bikes","Mountain Bikes",420,"2013-12-27","2","High-performer","11","148","113812","148","148","769.00","769"
"379","Mountain-400-W Silver- 40","Bikes","Mountain Bikes",420,"2013-12-24","3","High-performer","11","128","98432","128","128","769.00","769"
"380","Mountain-400-W Silver- 42","Bikes","Mountain Bikes",420,"2013-12-27","2","High-performer","11","129","99201","129","129","769.00","769"
"381","Mountain-400-W Silver- 46","Bikes","Mountain Bikes",420,"2013-12-24","3","High-performer","11","138","106122","138","138","769.00","769"
"382","Mountain-500 Silver- 40","Bikes","Mountain Bikes",308,"2013-12-26","3","Mid-performer","11","45","25425","45","45","565.00","565"
"383","Mountain-500 Silver- 42","Bikes","Mountain Bikes",308,"2013-12-27","2","Mid-performer","11","45","25425","45","45","565.00","565"
"384","Mountain-500 Silver- 44","Bikes","Mountain Bikes",308,"2013-12-25","3","Mid-performer","11","39","22035","39","39","565.00","565"
"385","Mountain-500 Silver- 48","Bikes","Mountain Bikes",308,"2013-12-27","2","Mid-performer","11","50","28250","50","50","565.00","565"
"386","Mountain-500 Silver- 52","Bikes","Mountain Bikes",308,"2013-12-25","3","Mid-performer","11","48","27120","48","48","565.00","565"
"387","Mountain-500 Black- 40","Bikes","Mountain Bikes",295,"2013-12-13","3","Mid-performer","11","48","25920","48","48","540.00","540"
"388","Mountain-500 Black- 42","Bikes","Mountain Bikes",295,"2013-12-25","3","Mid-performer","11","49","26460","49","49","540.00","540"
"389","Mountain-500 Black- 44","Bikes","Mountain Bikes",295,"2013-12-25","3","Mid-performer","11","58","31320","58","58","540.00","540"
"390","Mountain-500 Black- 48","Bikes","Mountain Bikes",295,"2013-12-26","3","Mid-performer","11","56","30240","56","56","540.00","540"
"391","Mountain-500 Black- 52","Bikes","Mountain Bikes",295,"2013-12-24","3","Mid-performer","11","41","22140","41","41","540.00","540"
"395","Road-750 Black- 44","Bikes","Road Bikes",344,"2013-12-28","2","High-performer","11","360","194400","360","360","540.00","540"
"396","Road-750 Black- 48","Bikes","Road Bikes",344,"2013-12-28","2","High-performer","11","363","196020","363","363","540.00","540"
"397","Road-750 Black- 52","Bikes","Road Bikes",344,"2013-12-28","2","High-performer","12","386","208440","386","386","540.00","540"
