"order_number","product_key","customer_key","order_date","shipping_date","due_date","total_sales","quantity","price"
"SO43722","103","2582","2011-01-04","2011-01-11","2011-01-16",3578,1,3578
"SO43723","124","3521","2011-01-04","2011-01-11","2011-01-16",699,1,699
"SO43723","123","3521","2011-01-04","2011-01-11","2011-01-16",699,1,699
"SO43724","102","5521","2011-01-04","2011-01-11","2011-01-16",3578,1,3578
"SO43725","102","2259","2011-01-05","2011-01-12","2011-01-17",3578,1,3578
"SO43726","124","3561","2011-01-05","2011-01-12","2011-01-17",699,1,699
"SO43726","123","3561","2011-01-05","2011-01-12","2011-01-17",699,1,699
"SO43727","102","5608","2011-01-05","2011-01-12","2011-01-17",3578,1,3578
"SO43728","104","16667","2011-01-06","2011-01-13","2011-01-18",3578,1,3578
"SO43729","137","239","2011-01-06","2011-01-13","2011-01-18",3400,1,3400
"SO43730","137","14862","2011-01-06","2011-01-13","2011-01-18",3400,1,3400
"SO43731","105","5630","2011-01-06","2011-01-13","2011-01-18",3578,1,3578
"SO43732","141","26","2011-01-06","2011-01-13","2011-01-18",3375,1,3375
"SO43733","103","16578","2011-01-06","2011-01-13","2011-01-18",3578,1,3578
"SO43734","103","16605","2011-01-07","2011-01-14","2011-01-19",3578,1,3578
"SO43735","101","5523","2011-01-07","2011-01-14","2011-01-19",3578,1,3578
"SO43736","137","3","2011-01-07","2011-01-14","2011-01-19",3400,1,3400
"SO43737","102","2262","2011-01-08","2011-01-15","2011-01-20",3578,1,3578
"SO43738","103","607","2011-01-08","2011-01-15","2011-01-20",3578,1,3578
"SO43739","101","2564","2011-01-08","2011-01-15","2011-01-20",3578,1,3578
"SO43740","103","5528","2011-01-08","2011-01-15","2011-01-20",3578,1,3578
"SO43741","101","16672","2011-01-09","2011-01-16","2011-01-21",3578,1,3578
"SO43742","105","2577","2011-01-09","2011-01-16","2011-01-21",3578,1,3578
"SO43743","138","8","2011-01-09","2011-01-16","2011-01-21",3400,1,3400
"SO43744","104","5632","2011-01-09","2011-01-16","2011-01-21",3578,1,3578
"SO43745","102","5515","2011-01-10","2011-01-17","2011-01-22",3578,1,3578
"SO43746","103","5617","2011-01-10","2011-01-17","2011-01-22",3578,1,3578
"SO43747","105","16624","2011-01-11","2011-01-18","2011-01-23",3578,1,3578
"SO43748","104","16626","2011-01-11","2011-01-18","2011-01-23",3578,1,3578
"SO43749","105","16637","2011-01-11","2011-01-18","2011-01-23",3578,1,3578
"SO43750","102","592","2011-01-11","2011-01-18","2011-01-23",3578,1,3578
"SO43751","104","593","2011-01-11","2011-01-18","2011-01-23",3578,1,3578
"SO43752","102","2266","2011-01-11","2011-01-18","2011-01-23",3578,1,3578
"SO43753","101","5483","2011-01-11","2011-01-18","2011-01-23",3578,1,3578
"SO43754","103","16618","2011-01-12","2011-01-19","2011-01-24",3578,1,3578
"SO43755","102","16671","2011-01-12","2011-01-19","2011-01-24",3578,1,3578
"SO43756","124","8942","2011-01-12","2011-01-19","2011-01-24",699,1,699
"SO43756","123","8942","2011-01-12","2011-01-19","2011-01-24",699,1,699
"SO43757","141","18","2011-01-12","2011-01-19","2011-01-24",3375,1,3375
"SO43758","101","16647","2011-01-13","2011-01-20","2011-01-25",3578,1,3578
"SO43759","101","2258","2011-01-13","2011-01-20","2011-01-25",3578,1,3578
"SO43760","105","5353","2011-01-13","2011-01-20","2011-01-25",3578,1,3578
"SO43761","101","5494","2011-01-13","2011-01-20","2011-01-25",3578,1,3578
"SO43762","105","16579","2011-01-14","2011-01-21","2011-01-26",3578,1,3578
"SO43763","104","5526","2011-01-14","2011-01-21","2011-01-26",3578,1,3578
"SO43764","101","5613","2011-01-14","2011-01-21","2011-01-26",3578,1,3578
"SO43765","137","11","2011-01-14","2011-01-21","2011-01-26",3400,1,3400
"SO43766","104","5519","2011-01-15","2011-01-22","2011-01-27",3578,1,3578
"SO43767","141","2","2011-01-15","2011-01-22","2011-01-27",3375,1,3375
"SO43768","103","16650","2011-01-16","2011-01-23","2011-01-28",3578,1,3578
"SO43769","103","10660","2011-01-16","2011-01-23","2011-01-28",3578,1,3578
"SO43770","103","16615","2011-01-16","2011-01-23","2011-01-28",3578,1,3578
"SO43771","122","3560","2011-01-16","2011-01-23","2011-01-28",699,1,699
"SO43771","121","3560","2011-01-16","2011-01-23","2011-01-28",699,1,699
"SO43772","103","5525","2011-01-16","2011-01-23","2011-01-28",3578,1,3578
"SO43773","105","5527","2011-01-16","2011-01-23","2011-01-28",3578,1,3578
"SO43774","104","5349","2011-01-16","2011-01-23","2011-01-28",3578,1,3578
"SO43775","138","28","2011-01-16","2011-01-23","2011-01-28",3400,1,3400
"SO43776","105","2261","2011-01-17","2011-01-24","2011-01-29",3578,1,3578
"SO43777","102","5516","2011-01-17","2011-01-24","2011-01-29",3578,1,3578
"SO43778","136","19","2011-01-17","2011-01-24","2011-01-29",3400,1,3400
"SO43779","118","14253","2011-01-17","2011-01-24","2011-01-29",699,1,699
"SO43779","117","14253","2011-01-17","2011-01-24","2011-01-29",699,1,699
"SO43780","102","600","2011-01-18","2011-01-25","2011-01-30",3578,1,3578
"SO43781","103","5496","2011-01-18","2011-01-25","2011-01-30",3578,1,3578
"SO43782","103","5517","2011-01-18","2011-01-25","2011-01-30",3578,1,3578
"SO43783","103","5621","2011-01-18","2011-01-25","2011-01-30",3578,1,3578
"SO43784","101","16668","2011-01-19","2011-01-26","2011-01-31",3578,1,3578
"SO43785","102","602","2011-01-19","2011-01-26","2011-01-31",3578,1,3578
"SO43786","102","608","2011-01-19","2011-01-26","2011-01-31",3578,1,3578
"SO43787","135","18386","2011-01-19","2011-01-26","2011-01-31",3400,1,3400
"SO43788","142","240","2011-01-19","2011-01-26","2011-01-31",3375,1,3375
"SO43789","142","14866","2011-01-19","2011-01-26","2011-01-31",3375,1,3375
"SO43790","135","14858","2011-01-19","2011-01-26","2011-01-31",3400,1,3400
"SO43791","105","5485","2011-01-19","2011-01-26","2011-01-31",3578,1,3578
"SO43792","103","5624","2011-01-19","2011-01-26","2011-01-31",3578,1,3578
"SO43793","135","1","2011-01-19","2011-01-26","2011-01-31",3400,1,3400
"SO43794","138","30","2011-01-19","2011-01-26","2011-01-31",3400,1,3400
"SO43795","103","16616","2011-01-20","2011-01-27","2011-02-01",3578,1,3578
"SO43796","134","6957","2011-01-20","2011-01-27","2011-02-01",699,1,699
"SO43796","133","6957","2011-01-20","2011-01-27","2011-02-01",699,1,699
"SO43797","103","5346","2011-01-20","2011-01-27","2011-02-01",3578,1,3578
"SO43798","101","5522","2011-01-20","2011-01-27","2011-02-01",3578,1,3578
"SO43799","103","5637","2011-01-20","2011-01-27","2011-02-01",3578,1,3578
"SO43800","102","10711","2011-01-21","2011-01-28","2011-02-02",3578,1,3578
"SO43801","102","2584","2011-01-21","2011-01-28","2011-02-02",3578,1,3578
"SO43802","103","594","2011-01-21","2011-01-28","2011-02-02",3578,1,3578
"SO43803","105","10742","2011-01-22","2011-01-29","2011-02-03",3578,1,3578
"SO43804","101","2586","2011-01-22","2011-01-29","2011-02-03",3578,1,3578
"SO43805","120","3511","2011-01-22","2011-01-29","2011-02-03",699,1,699
"SO43805","119","3511","2011-01-22","2011-01-29","2011-02-03",699,1,699
"SO43806","103","5524","2011-01-22","2011-01-29","2011-02-03",3578,1,3578
"SO43807","103","612","2011-01-23","2011-01-30","2011-02-04",3578,1,3578
"SO43808","104","2260","2011-01-23","2011-01-30","2011-02-04",3578,1,3578
"SO43809","101","5351","2011-01-23","2011-01-30","2011-02-04",3578,1,3578
"SO43810","136","5","2011-01-23","2011-01-30","2011-02-04",3400,1,3400
"SO43811","137","27","2011-01-23","2011-01-30","2011-02-04",3400,1,3400
"SO43812","103","16663","2011-01-24","2011-01-31","2011-02-05",3578,1,3578
"SO43813","141","17391","2011-01-24","2011-01-31","2011-02-05",3375,1,3375
"SO43814","141","14867","2011-01-24","2011-01-31","2011-02-05",3375,1,3375
"SO43815","102","5495","2011-01-24","2011-01-31","2011-02-05",3578,1,3578
"SO43816","105","5497","2011-01-24","2011-01-31","2011-02-05",3578,1,3578
"SO43817","101","5520","2011-01-24","2011-01-31","2011-02-05",3578,1,3578
"SO43818","103","5529","2011-01-24","2011-01-31","2011-02-05",3578,1,3578
"SO43819","137","7","2011-01-24","2011-01-31","2011-02-05",3400,1,3400
"SO43820","103","16652","2011-01-25","2011-02-01","2011-02-06",3578,1,3578
"SO43821","101","16664","2011-01-25","2011-02-01","2011-02-06",3578,1,3578
"SO43822","104","16670","2011-01-25","2011-02-01","2011-02-06",3578,1,3578
"SO43823","134","8943","2011-01-25","2011-02-01","2011-02-06",699,1,699
"SO43823","133","8943","2011-01-25","2011-02-01","2011-02-06",699,1,699
"SO43824","130","3559","2011-01-25","2011-02-01","2011-02-06",699,1,699
"SO43824","129","3559","2011-01-25","2011-02-01","2011-02-06",699,1,699
"SO43825","104","5350","2011-01-25","2011-02-01","2011-02-06",3578,1,3578
"SO43826","139","9","2011-01-25","2011-02-01","2011-02-06",3375,1,3375
"SO43827","130","14251","2011-01-25","2011-02-01","2011-02-06",699,1,699
"SO43827","129","14251","2011-01-25","2011-02-01","2011-02-06",699,1,699
"SO43828","101","16606","2011-01-26","2011-02-02","2011-02-07",3578,1,3578
"SO43829","101","16612","2011-01-26","2011-02-02","2011-02-07",3578,1,3578
"SO43830","102","5348","2011-01-26","2011-02-02","2011-02-07",3578,1,3578
"SO43831","140","29","2011-01-26","2011-02-02","2011-02-07",3375,1,3375
"SO43832","101","2585","2011-01-26","2011-02-02","2011-02-07",3578,1,3578
"SO43833","101","10728","2011-01-27","2011-02-03","2011-02-08",3578,1,3578
"SO43834","139","17394","2011-01-27","2011-02-03","2011-02-08",3375,1,3375
"SO43835","139","8803","2011-01-27","2011-02-03","2011-02-08",3375,1,3375
"SO43836","116","15621","2011-01-27","2011-02-03","2011-02-08",699,1,699
"SO43836","115","15621","2011-01-27","2011-02-03","2011-02-08",699,1,699
"SO43837","141","10","2011-01-27","2011-02-03","2011-02-08",3375,1,3375
"SO43838","104","16642","2011-01-28","2011-02-04","2011-02-09",3578,1,3578
"SO43839","102","16674","2011-01-28","2011-02-04","2011-02-09",3578,1,3578
"SO43840","118","6958","2011-01-28","2011-02-04","2011-02-09",699,1,699
"SO43840","117","6958","2011-01-28","2011-02-04","2011-02-09",699,1,699
"SO43841","105","2407","2011-01-28","2011-02-04","2011-02-09",3578,1,3578
"SO43842","103","5631","2011-01-28","2011-02-04","2011-02-09",3578,1,3578
"SO43918","104","11042","2011-01-29","2011-02-05","2011-02-10",3578,1,3578
"SO43919","105","1125","2011-01-29","2011-02-05","2011-02-10",3578,1,3578
"SO43920","104","17067","2011-01-29","2011-02-05","2011-02-10",3578,1,3578
"SO43921","104","5744","2011-01-29","2011-02-05","2011-02-10",3578,1,3578
"SO43922","101","2547","2011-01-29","2011-02-05","2011-02-10",3578,1,3578
"SO43923","103","17019","2011-01-30","2011-02-06","2011-02-11",3578,1,3578
"SO43924","101","1133","2011-01-30","2011-02-06","2011-02-11",3578,1,3578
"SO43925","105","5662","2011-01-30","2011-02-06","2011-02-11",3578,1,3578
"SO43926","142","56","2011-01-31","2011-02-07","2011-02-12",3375,1,3375
"SO43927","105","5663","2011-01-31","2011-02-07","2011-02-12",3578,1,3578
"SO43928","104","5741","2011-01-31","2011-02-07","2011-02-12",3578,1,3578
"SO43929","114","14271","2011-01-31","2011-02-07","2011-02-12",699,1,699
"SO43929","113","14271","2011-01-31","2011-02-07","2011-02-12",699,1,699
"SO43930","103","17039","2011-02-01","2011-02-08","2011-02-13",3578,1,3578
"SO43931","104","2549","2011-02-01","2011-02-08","2011-02-13",3578,1,3578
"SO43932","105","5742","2011-02-01","2011-02-08","2011-02-13",3578,1,3578
"SO43933","138","32","2011-02-01","2011-02-08","2011-02-13",3400,1,3400
"SO43934","137","35","2011-02-01","2011-02-08","2011-02-13",3400,1,3400
"SO43935","126","9049","2011-02-02","2011-02-09","2011-02-14",699,1,699
"SO43935","125","9049","2011-02-02","2011-02-09","2011-02-14",699,1,699
"SO43936","102","17066","2011-02-02","2011-02-09","2011-02-14",3578,1,3578
"SO43937","103","6048","2011-02-02","2011-02-09","2011-02-14",3578,1,3578
"SO43938","101","5687","2011-02-02","2011-02-09","2011-02-14",3578,1,3578
"SO43939","103","5660","2011-02-02","2011-02-09","2011-02-14",3578,1,3578
"SO43940","128","14295","2011-02-02","2011-02-09","2011-02-14",699,1,699
"SO43940","127","14295","2011-02-02","2011-02-09","2011-02-14",699,1,699
"SO43941","105","2601","2011-02-03","2011-02-10","2011-02-15",3578,1,3578
"SO43942","101","6052","2011-02-03","2011-02-10","2011-02-15",3578,1,3578
"SO43943","130","3566","2011-02-03","2011-02-10","2011-02-15",699,1,699
"SO43943","129","3566","2011-02-03","2011-02-10","2011-02-15",699,1,699
"SO43944","135","55","2011-02-03","2011-02-10","2011-02-15",3400,1,3400
"SO43945","101","5676","2011-02-03","2011-02-10","2011-02-15",3578,1,3578
"SO43946","104","5688","2011-02-03","2011-02-10","2011-02-15",3578,1,3578
"SO43947","101","5713","2011-02-03","2011-02-10","2011-02-15",3578,1,3578
"SO43948","136","48","2011-02-03","2011-02-10","2011-02-15",3400,1,3400
"SO43949","101","16727","2011-02-04","2011-02-11","2011-02-16",3578,1,3578
"SO43950","102","17015","2011-02-04","2011-02-11","2011-02-16",3578,1,3578
"SO43951","102","5697","2011-02-04","2011-02-11","2011-02-16",3578,1,3578
"SO43952","103","5640","2011-02-04","2011-02-11","2011-02-16",3578,1,3578
"SO43953","134","9050","2011-02-05","2011-02-12","2011-02-17",699,1,699
"SO43953","133","9050","2011-02-05","2011-02-12","2011-02-17",699,1,699
"SO43954","102","2603","2011-02-05","2011-02-12","2011-02-17",3578,1,3578
"SO43955","105","2662","2011-02-05","2011-02-12","2011-02-17",3578,1,3578
"SO43956","135","31","2011-02-05","2011-02-12","2011-02-17",3400,1,3400
"SO43957","104","17069","2011-02-06","2011-02-13","2011-02-18",3578,1,3578
"SO43958","103","5659","2011-02-06","2011-02-13","2011-02-18",3578,1,3578
"SO43959","139","36","2011-02-06","2011-02-13","2011-02-18",3375,1,3375
"SO43960","140","47","2011-02-06","2011-02-13","2011-02-18",3375,1,3375
"SO43961","102","17032","2011-02-07","2011-02-14","2011-02-19",3578,1,3578
"SO43962","103","17077","2011-02-07","2011-02-14","2011-02-19",3578,1,3578
"SO43963","105","5686","2011-02-07","2011-02-14","2011-02-19",3578,1,3578
"SO43964","103","5746","2011-02-07","2011-02-14","2011-02-19",3578,1,3578
"SO43965","142","39","2011-02-07","2011-02-14","2011-02-19",3375,1,3375
"SO43966","138","40","2011-02-07","2011-02-14","2011-02-19",3400,1,3400
"SO43967","104","17041","2011-02-08","2011-02-15","2011-02-20",3578,1,3578
"SO43968","104","17068","2011-02-08","2011-02-15","2011-02-20",3578,1,3578
"SO43969","101","17072","2011-02-08","2011-02-15","2011-02-20",3578,1,3578
"SO43970","102","5685","2011-02-08","2011-02-15","2011-02-20",3578,1,3578
"SO43971","105","5658","2011-02-08","2011-02-15","2011-02-20",3578,1,3578
"SO43972","105","10940","2011-02-09","2011-02-16","2011-02-21",3578,1,3578
"SO43973","103","17040","2011-02-09","2011-02-16","2011-02-21",3578,1,3578
"SO43974","103","2688","2011-02-09","2011-02-16","2011-02-21",3578,1,3578
"SO43975","103","2541","2011-02-09","2011-02-16","2011-02-21",3578,1,3578
"SO43976","101","17064","2011-02-09","2011-02-16","2011-02-21",3578,1,3578
"SO43977","103","5704","2011-02-09","2011-02-16","2011-02-21",3578,1,3578
"SO43978","101","17031","2011-02-10","2011-02-17","2011-02-22",3578,1,3578
"SO43979","114","3577","2011-02-10","2011-02-17","2011-02-22",699,1,699
"SO43979","113","3577","2011-02-10","2011-02-17","2011-02-22",699,1,699
"SO43980","142","49","2011-02-10","2011-02-17","2011-02-22",3375,1,3375
"SO43981","105","5665","2011-02-10","2011-02-17","2011-02-22",3578,1,3578
"SO43982","134","14272","2011-02-10","2011-02-17","2011-02-22",699,1,699
"SO43982","133","14272","2011-02-10","2011-02-17","2011-02-22",699,1,699
"SO43983","105","17018","2011-02-11","2011-02-18","2011-02-23",3578,1,3578
"SO43984","102","2546","2011-02-11","2011-02-18","2011-02-23",3578,1,3578
"SO43985","104","2516","2011-02-11","2011-02-18","2011-02-23",3578,1,3578
"SO43986","101","17071","2011-02-11","2011-02-18","2011-02-23",3578,1,3578
"SO43987","101","17043","2011-02-12","2011-02-19","2011-02-24",3578,1,3578
"SO43988","135","245","2011-02-12","2011-02-19","2011-02-24",3400,1,3400
"SO43989","103","17084","2011-02-12","2011-02-19","2011-02-24",3578,1,3578
"SO43990","135","14873","2011-02-12","2011-02-19","2011-02-24",3400,1,3400
"SO43991","101","5661","2011-02-12","2011-02-19","2011-02-24",3578,1,3578
"SO43992","102","5639","2011-02-12","2011-02-19","2011-02-24",3578,1,3578
"SO43993","105","5930","2011-02-14","2011-02-21","2011-02-26",3578,1,3578
"SO43994","105","16682","2011-02-15","2011-02-22","2011-02-27",3578,1,3578
"SO43995","103","10814","2011-02-15","2011-02-22","2011-02-27",3578,1,3578
"SO43996","101","16921","2011-02-15","2011-02-22","2011-02-27",3578,1,3578
"SO43997","101","17023","2011-02-15","2011-02-22","2011-02-27",3578,1,3578
"SO43998","139","34","2011-02-15","2011-02-22","2011-02-27",3375,1,3375
"SO43999","102","17048","2011-02-15","2011-02-22","2011-02-27",3578,1,3578
"SO44000","102","16919","2011-02-16","2011-02-23","2011-02-28",3578,1,3578
"SO44001","104","17045","2011-02-16","2011-02-23","2011-02-28",3578,1,3578
"SO44002","128","3573","2011-02-16","2011-02-23","2011-02-28",699,1,699
"SO44002","127","3573","2011-02-16","2011-02-23","2011-02-28",699,1,699
"SO44003","134","8326","2011-02-16","2011-02-23","2011-02-28",699,1,699
"SO44003","133","8326","2011-02-16","2011-02-23","2011-02-28",699,1,699
"SO44004","101","17062","2011-02-16","2011-02-23","2011-02-28",3578,1,3578
"SO44005","126","15630","2011-02-16","2011-02-23","2011-02-28",699,1,699
"SO44005","125","15630","2011-02-16","2011-02-23","2011-02-28",699,1,699
"SO44006","101","5745","2011-02-16","2011-02-23","2011-02-28",3578,1,3578
"SO44007","112","14556","2011-02-16","2011-02-23","2011-02-28",699,1,699
"SO44007","111","14556","2011-02-16","2011-02-23","2011-02-28",699,1,699
"SO44008","103","16679","2011-02-17","2011-02-24","2011-03-01",3578,1,3578
"SO44009","105","16760","2011-02-17","2011-02-24","2011-03-01",3578,1,3578
"SO44010","101","2681","2011-02-17","2011-02-24","2011-03-01",3578,1,3578
"SO44011","101","2515","2011-02-17","2011-02-24","2011-03-01",3578,1,3578
"SO44012","140","53","2011-02-17","2011-02-24","2011-03-01",3375,1,3375
"SO44013","103","5929","2011-02-17","2011-02-24","2011-03-01",3578,1,3578
"SO44014","104","16918","2011-02-18","2011-02-25","2011-03-02",3578,1,3578
"SO44015","102","2694","2011-02-18","2011-02-25","2011-03-02",3578,1,3578
"SO44016","141","248","2011-02-18","2011-02-25","2011-03-02",3375,1,3375
"SO44017","101","17079","2011-02-18","2011-02-25","2011-03-02",3578,1,3578
"SO44018","141","14877","2011-02-18","2011-02-25","2011-03-02",3375,1,3375
"SO44019","101","5702","2011-02-18","2011-02-25","2011-03-02",3578,1,3578
"SO44020","102","5932","2011-02-18","2011-02-25","2011-03-02",3578,1,3578
"SO44021","139","33","2011-02-18","2011-02-25","2011-03-02",3375,1,3375
"SO44022","104","11009","2011-02-19","2011-02-26","2011-03-03",3578,1,3578
"SO44023","140","8831","2011-02-19","2011-02-26","2011-03-03",3375,1,3375
"SO44024","105","5664","2011-02-19","2011-02-26","2011-03-03",3578,1,3578
"SO44025","105","5709","2011-02-19","2011-02-26","2011-03-03",3578,1,3578
"SO44026","101","6046","2011-02-19","2011-02-26","2011-03-03",3578,1,3578
"SO44027","101","10922","2011-02-20","2011-02-27","2011-03-04",3578,1,3578
"SO44028","103","6049","2011-02-20","2011-02-27","2011-03-04",3578,1,3578
"SO44029","141","51","2011-02-20","2011-02-27","2011-03-04",3375,1,3375
"SO44030","102","1132","2011-02-21","2011-02-28","2011-03-05",3578,1,3578
"SO44031","104","2690","2011-02-21","2011-02-28","2011-03-05",3578,1,3578
"SO44032","135","244","2011-02-21","2011-02-28","2011-03-05",3400,1,3400
"SO44033","105","5694","2011-02-21","2011-02-28","2011-03-05",3578,1,3578
"SO44034","104","5703","2011-02-21","2011-02-28","2011-03-05",3578,1,3578
"SO44035","103","5708","2011-02-21","2011-02-28","2011-03-05",3578,1,3578
"SO44036","101","6047","2011-02-21","2011-02-28","2011-03-05",3578,1,3578
"SO44037","120","14273","2011-02-21","2011-02-28","2011-03-05",699,1,699
"SO44037","119","14273","2011-02-21","2011-02-28","2011-03-05",699,1,699
"SO44038","135","14869","2011-02-21","2011-02-28","2011-03-05",3400,1,3400
"SO44039","134","6972","2011-02-22","2011-03-01","2011-03-06",699,1,699
"SO44039","133","6972","2011-02-22","2011-03-01","2011-03-06",699,1,699
"SO44040","142","58","2011-02-22","2011-03-01","2011-03-06",3375,1,3375
"SO44041","104","5743","2011-02-22","2011-03-01","2011-03-06",3578,1,3578
"SO44042","104","2679","2011-02-23","2011-03-02","2011-03-07",3578,1,3578
"SO44043","102","2680","2011-02-23","2011-03-02","2011-03-07",3578,1,3578
"SO44044","105","2691","2011-02-23","2011-03-02","2011-03-07",3578,1,3578
"SO44045","135","17395","2011-02-23","2011-03-02","2011-03-07",3400,1,3400
"SO44046","104","17065","2011-02-23","2011-03-02","2011-03-07",3578,1,3578
"SO44047","135","14879","2011-02-23","2011-03-02","2011-03-07",3400,1,3400
"SO44048","105","5714","2011-02-23","2011-03-02","2011-03-07",3578,1,3578
"SO44049","105","2539","2011-02-24","2011-03-03","2011-03-08",3578,1,3578
"SO44050","101","6051","2011-02-24","2011-03-03","2011-03-08",3578,1,3578
"SO44051","101","2692","2011-02-25","2011-03-04","2011-03-09",3578,1,3578
"SO44052","105","5638","2011-02-25","2011-03-04","2011-03-09",3578,1,3578
"SO44053","130","8330","2011-02-26","2011-03-05","2011-03-10",699,1,699
"SO44053","129","8330","2011-02-26","2011-03-05","2011-03-10",699,1,699
"SO44054","105","2543","2011-02-26","2011-03-05","2011-03-10",3578,1,3578
"SO44055","101","2544","2011-02-26","2011-03-05","2011-03-10",3578,1,3578
"SO44056","105","2560","2011-02-26","2011-03-05","2011-03-10",3578,1,3578
"SO44057","130","3578","2011-02-26","2011-03-05","2011-03-10",699,1,699
"SO44057","129","3578","2011-02-26","2011-03-05","2011-03-10",699,1,699
"SO44058","141","57","2011-02-26","2011-03-05","2011-03-10",3375,1,3375
"SO44059","104","5689","2011-02-26","2011-03-05","2011-03-10",3578,1,3578
"SO44060","134","14274","2011-02-26","2011-03-05","2011-03-10",699,1,699
"SO44060","133","14274","2011-02-26","2011-03-05","2011-03-10",699,1,699
"SO44061","101","16920","2011-02-27","2011-03-06","2011-03-11",3578,1,3578
"SO44062","101","17042","2011-02-27","2011-03-06","2011-03-11",3578,1,3578
"SO44063","135","241","2011-02-27","2011-03-06","2011-03-11",3400,1,3400
"SO44064","101","11051","2011-02-27","2011-03-06","2011-03-11",3578,1,3578
"SO44065","101","17063","2011-02-27","2011-03-06","2011-03-11",3578,1,3578
"SO44066","135","14868","2011-02-27","2011-03-06","2011-03-11",3400,1,3400
"SO44067","101","6050","2011-02-27","2011-03-06","2011-03-11",3578,1,3578
"SO44068","104","2542","2011-02-28","2011-03-07","2011-03-12",3578,1,3578
"SO44069","140","17396","2011-02-28","2011-03-07","2011-03-12",3375,1,3375
"SO44070","140","8830","2011-02-28","2011-03-07","2011-03-12",3375,1,3375
"SO44071","104","5692","2011-02-28","2011-03-07","2011-03-12",3578,1,3578
"SO44072","102","5657","2011-02-28","2011-03-07","2011-03-12",3578,1,3578
"SO44073","142","45","2011-02-28","2011-03-07","2011-03-12",3375,1,3375
"SO44134","101","2822","2011-03-01","2011-03-08","2011-03-13",3578,1,3578
"SO44135","101","17157","2011-03-01","2011-03-08","2011-03-13",3578,1,3578
"SO44136","102","11115","2011-03-01","2011-03-08","2011-03-13",3578,1,3578
"SO44137","105","6329","2011-03-01","2011-03-08","2011-03-13",3578,1,3578
"SO44138","101","2766","2011-03-02","2011-03-09","2011-03-14",3578,1,3578
"SO44139","102","2793","2011-03-02","2011-03-09","2011-03-14",3578,1,3578
"SO44140","102","1222","2011-03-02","2011-03-09","2011-03-14",3578,1,3578
"SO44141","104","2573","2011-03-02","2011-03-09","2011-03-14",3578,1,3578
"SO44142","104","11059","2011-03-02","2011-03-09","2011-03-14",3578,1,3578
"SO44143","104","17146","2011-03-02","2011-03-09","2011-03-14",3578,1,3578
"SO44144","103","6072","2011-03-02","2011-03-09","2011-03-14",3578,1,3578
"SO44145","101","6310","2011-03-02","2011-03-09","2011-03-14",3578,1,3578
"SO44146","104","6311","2011-03-02","2011-03-09","2011-03-14",3578,1,3578
"SO44147","101","6321","2011-03-02","2011-03-09","2011-03-14",3578,1,3578
"SO44148","101","17173","2011-03-03","2011-03-10","2011-03-15",3578,1,3578
"SO44149","103","6243","2011-03-03","2011-03-10","2011-03-15",3578,1,3578
"SO44150","103","6316","2011-03-03","2011-03-10","2011-03-15",3578,1,3578
"SO44151","120","14559","2011-03-03","2011-03-10","2011-03-15",699,1,699
"SO44151","119","14559","2011-03-03","2011-03-10","2011-03-15",699,1,699
